2016/2017,2018,SCS1209,2
17000017,E,,
17000025,A+,,
17000033,A-,,
17000041,A,,
17000051,A,,
17000068,A-,,
17000076,A,,
17000084,A,,
17000092,A,,
17000106,A-,,
17000114,E,,
17000122,A,,
17000132,C+,,
17000149,A,,
17000157,B,,
17000165,B+,,
17000173,C-,,
17000181,C-,,
17000191,A+,,
17000203,C-,,
17000211,A,,
17000221,A,,
17000238,C,,
17000246,F,,
17000254,C+,,
17000262,A+,,
17000272,A,,
17000289,B-,,
17000297,B,,
17000302,D+,,
17000319,E,,
17000327,A-,,
17000335,F,,
17000343,B+,,
17000351,A-,,
17000361,A,,
17000378,A-,,
17000386,F,,
17000394,A,,
17000408,B,,
17000416,B-,,
17000424,D,,
17000432,F,,
17000442,B+,,
17000459,D+,,
17000467,B-,,
17000475,A,,
17000483,A+,,
17000491,D+,,
17000505,E,,
17000513,E,,
17000521,B,,
17000531,B-,,
17000548,B,,
17000556,B,,
17000564,A+,,
17000572,A-,,
17000582,A+,,
17000599,A,,
17000602,E,,
17000612,A+,,
17000629,B+,,
17000637,E,,
17000645,B,,
17000653,A,,
17000661,A,,
17000671,B,,
17000688,E,,
17000696,B-,,
17000701,A-,,
17000718,F,,
17000726,C,,
17000734,A,,
17000742,B,,
17000752,A,,
17000769,B,,
17000777,A,,
17000785,F,,
17000793,C+,,
17000807,C,,
17000815,D+,,
17000823,C-,,
17000831,A-,,
17000841,A,,
17000858,B+,,
17000866,A+,,
17000874,A,,
17000882,B-,,
17000892,D,,
17000904,E,,
17000912,A,,
17000922,B,,
17000939,C+,,
17000947,B,,
17000955,C,,
17000963,B,,
17000971,A-,,
17000981,A+,,
17000998,A+,,
17001005,E,,
17001013,D,,
17001021,B+,,
17001031,A,,
17001048,C,,
17001056,B+,,
17001064,E,,
17001072,B+,,
17001082,A,,
17001099,B+,,
17001102,B-,,
17001112,B+,,
17001129,A+,,
17001137,A-,,
17001145,F,,
17001153,A,,
17001161,C,,
17001171,C-,,
17001188,A,,
17001196,A,,
17001201,D+,,
17001218,A,,
17001226,B,,
17001234,C+,,
17001242,C+,,
17001252,C+,,
17001269,A,,
17001277,A,,
17001285,A+,,
17001293,A,,
17001307,B+,,
17001315,B+,,
17001323,A+,,
17001331,E,,
17001341,A,,
17001358,B-,,
17001366,C-,,
17001374,A,,
17001382,A,,
17001392,F,,
17001404,A,,
17001412,F,,
17001422,E,,
17001439,B,,
17001447,B+,,
17001455,D+,,
17001463,A+,,
17001471,B-,,
17001481,B,,
17001498,A+,,
17001501,A+,,
17001511,D+,,
17001528,A,,
17001536,F,,
17001544,D,,
17001552,D,,
17001562,B+,,
17001579,C,,
17001587,D,,
17001595,B,,
17001609,C+,,
17001617,C+,,
17001625,A-,,
17001633,B+,,
17001641,B,,
17001651,C,,
17001668,E,,
17001676,A,,
17001684,C+,,
17001692,C-,,
17001706,A-,,
17001714,E,,
17001722,A,,
17001732,C+,,
17001749,A+,,
17001757,A,,
17001765,B-,,
17001773,B-,,
17001781,C-,,
17001791,C+,,
17001803,C+,,
17001811,C,,
17001821,B-,,
17001838,A,,
17001846,F,,
17001854,C+,,
17001862,B+,,
17001872,A-,,
17001889,B+,,
17001897,D+,,
17001902,A-,,
17001919,B-,,
17001927,A+,,
17001935,A-,,
17001943,A+,,
17001951,A+,,
17001961,A,,
17001978,B,,
17001986,C,,
17001994,A-,,
